Dicrostonyx groenlandicus	62.3	4.65681341914	4.13196142579
Didelphis marsupialis	1329.0	6.41558783703	7.19218205871
Didelphis virginiana	3257.0	6.97988987674	8.08856180528
Diphylla ecaudata	27.8	3.52341501439	3.3250360207
Dipodomys agilis	60.6	4.15261347035	4.10429489308
Dipodomys deserti	106.0	4.52396013056	4.66343909411
Dipodomys merriami	34.7	3.72906124375	3.54673968695
Dipodomys ordii	48.8	4.05004430333	3.88773031286
Dipodomys panamintinus	56.9	4.13660552094	4.04129534113
Dobsonia anderseni	241.0	5.15905529921	5.48479693349
Dobsonia minor	73.7	4.30945594184	4.3000027992
Dobsonia moluccensis	404.3	5.90781116211	6.00215717665
Dobsonia praedatrix	179.5	4.95934199971	5.19017520793
Dolichotis salinicola	1613.0	6.58741226429	7.38585107813
Dromiciops gliroides	40.2	3.45820763638	3.69386699562
Echymipera kalubu	695.0	5.84064165737	6.54391184556
Echymipera rufescens	1276.0	6.29341927885	7.1514854639
Eira barbara	2950.0	7.10767114418	7.98956044933
Elephantulus brachyrhynchus	45.3	3.77780566331	3.81330703249
Elephantulus intufi	46.5	3.9518204753	3.83945231259
Elephantulus myurus	63.0	4.19418989719	4.14313472639
Elephantulus rozeti	45.3	3.8670256395	3.81330703249
Elephantulus rufescens	53.0	4.04076796132	3.97029191355
Elephantulus rupestris	59.7	3.97349432752	4.0893320204
Eligmodontia typus	17.5	3.3978584804	2.86220088093
Enhydra lutris	18000.0	9.46962296991	9.79812703688
Eonycteris spelaea	51.6	3.87120101091	3.94352167249
Eothenomys miletus	41.23	4.37663713739	3.71916614672
Eothenomys olitor	34.26	4.48975933448	3.5339784929
Epixerus wilsoni	460.0	5.48769728771	6.13122648948
Epomophorus wahlbergi	101.7	4.65548299986	4.62202730305
Eptesicus fuscus	15.0	2.83203618088	2.7080502011
Eptesicus vulturnus	4.0	1.40609698842	1.38629436112
Eremitalpa granti	26.1	2.60786147385	3.26193531433
Erinaceus concolor	823.0	5.84932477995	6.71295620068
Erinaceus europaeus	749.0	5.82037962224	6.61873898352
Erophylla bombifrons	16.41	2.89591193827	2.7978909051
Eulemur fulvus	2330.0	5.78074351579	7.75362354656
Eumops perotis	56.0	3.68386691229	4.02535169074
Euneomys chinchilloides	65.4	4.4355674016	4.18052225846
Euoticus elegantulus	262.0	5.37527840768	5.56834450376
Euphractus sexcinctus	8190.0	7.12044437239	9.01066917685
Fossa fossana	2260.0	6.80937037706	7.72312009227
