contrast,path length,mass,BMR,ln mass
c456,32.100000,-288.213652,-7.759380,-0.048332
c457,35.100000,4818.808137,670.941067,-0.252428
c458,48.200000,-2.578277,-5.463354,-0.075224
c459,28.100000,-4.805566,-6.465025,-0.104000
c460,20.200000,7.498152,3.671202,0.323076
c461,12.300000,12.135884,8.894847,0.310825
c462,39.000000,100.960801,32.610099,0.256203
c463,26.100000,-68.091997,-17.478061,-0.373190
c464,80.300000,-22.854554,-6.034563,-0.101874
c465,10.000000,-4.174207,-0.360500,-0.079019
c466,10.000000,-2.434954,-4.158395,-0.049643
c467,17.000000,0.842143,0.491428,0.015477
c468,22.300000,-2.252222,-2.816937,-0.040784
c469,23.200000,-33.384283,-27.342724,-0.314546
c470,21.800000,-16.541132,-11.736780,-0.173675
c471,8.000000,-7.867389,-7.110749,-0.044947
c472,54.300000,9.712249,0.597718,0.018349
c473,77.500000,-4872.756843,-617.728961,-0.668539
c474,148.200000,13824.015389,638.990037,0.356977
c475,5.400000,-9767.964432,-412.746747,-0.540175
c476,21.700000,443.230306,409.569442,-0.101381
c477,58.200000,1.127293,0.199243,0.124875
c478,60.000000,4.983239,3.450828,0.034096
c479,6.100000,-22.995390,-12.624017,-0.472136
c480,14.600000,-133.446929,-58.885191,-0.069683
c481,7.500000,-160.713996,-70.676424,-0.095145
c482,8.800000,116.867986,78.195606,0.070678
c483,19.500000,14.877661,21.233720,0.005282
c484,23.600000,-493.236156,-82.007614,-0.183638
c485,33.500000,86.187872,17.162220,0.019188
c486,26.800000,4.520104,0.963903,0.202791
c487,15.400000,-1.212492,0.224417,-0.028812
c488,39.300000,316.887945,92.271945,0.637730
c489,17.700000,-201.068691,-56.274047,-0.330975
c490,14.400000,2575.675154,328.876877,0.094305
c491,9.800000,328.634556,-189.586353,0.007823
c492,9.500000,-6299.164104,-1137.425815,-0.485453
c493,9.800000,5147.417639,978.328748,0.517968
c494,9.600000,-3992.080166,-750.972691,-0.401230
c495,10.100000,-1938.440473,-432.024781,-0.041861
c496,39.600000,-1496.232103,-245.664483,-0.158842
c497,24.900000,1289.653146,266.786123,0.287567
c498,21.700000,-900.710371,-211.148761,-0.538297
c499,62.400000,-2742.563141,-229.700242,-0.538522
c500,73.100000,809.886478,109.139799,0.320507
c501,20.400000,-6.730673,-6.026609,-0.134146
c502,8.000000,-43.310290,-34.825009,-0.534141
c503,10.000000,-10.700775,-6.732420,-0.097183
c504,4.800000,216.852489,41.307410,0.191758
c505,6.800000,-951.960182,-261.717897,-0.434811
c506,4.800000,683.246477,199.826318,0.500172
c507,5.100000,-1290.797544,-314.102118,-0.538690
c508,14.200000,7.801950,9.702017,0.075894
c509,3.200000,875.227280,264.634170,1.014571
c510,9.200000,393.282270,124.606379,0.693777
c511,6.700000,-267.176215,-77.422923,-0.400648
c512,21.800000,-7.067823,-3.383988,-0.302889
c513,24.200000,0.874099,0.286623,0.044209
c514,7.200000,1.676553,0.916901,0.019807
c515,15.500000,-2.618207,-2.024859,-0.127529
c516,16.700000,-0.814991,-0.257279,-0.066628
c517,13.200000,1.045916,1.389967,0.140600
c518,11.800000,-0.231608,-0.276643,-0.037105
c519,19.000000,2.618160,2.499130,0.175985
c520,17.300000,91.652581,31.995645,0.402205
c521,36.100000,-43.855243,-14.977827,-0.422691
c522,32.500000,706.919890,89.312115,0.230526
c523,23.800000,-119.093389,-40.381063,-0.124540
c524,4.000000,-476.000000,-149.350000,-0.585358
c525,12.800000,-174.166545,-75.629198,-0.189019
c526,15.400000,9.173649,15.009110,0.013840
c527,15.100000,-93.725023,-42.394493,-0.219414
c528,6.000000,188.224194,42.112566,0.228526
c529,12.700000,43.926388,23.038280,0.083808
c530,53.900000,-92.085095,-21.201654,-0.096086
c531,31.700000,387.459409,19.099306,-0.199454
c532,8.800000,63.037687,25.619595,0.250107
c533,34.000000,-330.649272,-79.489594,-0.153728
c534,17.200000,403.194250,129.450209,0.418762
c535,17.500000,165.392312,45.144544,0.047828
c536,19.900000,-97.928847,-40.860043,-0.008859
c537,55.400000,133.398169,47.087135,0.167689
c538,79.000000,-0.990077,-1.306227,-0.027796
c539,16.500000,121.715284,48.587096,0.394156
c540,69.000000,-5.790560,-3.816232,-0.040012
c541,61.000000,0.896258,2.049870,0.008340
c542,26.600000,5.014535,5.977768,0.038145
c543,12.900000,57.924935,20.367515,0.035926
c544,55.400000,-7.406342,0.607324,0.067634
c545,43.000000,382.223714,49.002556,0.087177
c546,113.800000,3086.550468,367.157394,0.091844
c547,121.400000,-1438.591681,-169.837278,0.127535
