contrast,path length,AVG SVL,AVG femur,AVG tibia,AVG met,AVG ltoe IV,AVG humerus,AVG radius,AVG lfing IV,Foot Lam num,Hand Lam num,Avg lnSVL2,Avg ln t1
c35,21.180749,-0.027635,-0.033194,-0.018275,-0.005497,-0.016448,-0.040917,-0.048432,-0.051566,0.013735,-0.019457,-0.028193,0.036736
c36,42.725924,-0.019199,-0.010831,-0.027612,-0.028205,-0.029800,-0.008676,-0.009037,-0.007712,-0.058158,-0.047490,-0.020881,-0.020319
c37,26.698341,0.051370,0.048708,0.044200,0.054848,0.066773,0.059167,0.039106,0.066300,0.023632,0.035828,0.054894,0.044242
c38,14.839095,-0.023181,-0.023978,-0.031461,-0.020044,-0.018361,-0.043204,-0.027160,-0.025134,-0.006573,-0.011405,-0.042233,-0.055722
c39,11.836266,0.046497,0.062107,0.060867,0.045085,0.048974,0.056624,0.065125,0.053267,0.028681,0.030173,0.037798,0.024328
c40,10.683447,0.019036,0.029862,0.035357,0.026360,0.023874,0.020449,0.034985,0.025177,0.005939,-0.000923,0.027576,0.051410
c41,17.372451,-0.009290,-0.008281,-0.005991,-0.007918,-0.018111,-0.006005,-0.010283,-0.017866,-0.014663,-0.012431,-0.022760,-0.013498
c42,25.212533,-0.006406,-0.015350,-0.008626,-0.008137,-0.007287,-0.013578,-0.011863,-0.003048,-0.024133,-0.027928,-0.009192,0.002125
c43,15.160691,-0.025143,-0.047170,-0.047245,-0.030487,-0.011596,-0.041910,-0.054548,-0.023827,0.003392,-0.018490,-0.029318,-0.028260
c44,31.577159,0.016089,0.024982,0.027361,0.024098,0.013110,0.024390,0.029478,0.014631,-0.017822,-0.012499,0.009399,0.004718
c45,4.173045,-0.011701,-0.019142,-0.016047,-0.013728,-0.008162,0.009669,-0.003769,-0.021826,-0.000046,0.003122,-0.000278,0.016352
c46,7.350198,0.017619,0.011075,0.019995,0.011686,-0.005914,0.030042,0.015538,-0.006836,-0.003900,0.009944,0.000067,-0.001399
c47,25.078576,0.175460,0.133228,0.119254,0.123657,0.127578,0.149090,0.130700,0.141887,0.042206,0.039221,0.171744,0.153376
c48,23.409570,0.135830,0.131037,0.130136,0.126529,0.120700,0.118851,0.123032,0.114418,0.050556,0.064293,0.136255,0.143598
c49,28.249353,-0.087004,-0.100937,-0.082847,-0.076710,-0.072420,-0.082350,-0.078706,-0.077352,-0.014930,-0.030988,-0.092322,-0.111706
c50,7.630236,0.001954,-0.016434,-0.018493,-0.008879,-0.032625,0.010476,0.043899,-0.018180,-0.038182,-0.027953,0.004122,-0.041966
c51,5.495466,-0.000594,-0.013790,-0.014137,-0.005363,-0.027694,-0.004435,0.005802,-0.032083,-0.014113,-0.019165,-0.003782,0.037349
c52,10.024135,-0.010240,-0.015291,-0.000780,0.003448,-0.006702,0.012508,0.022271,-0.007202,-0.003160,-0.042125,0.001637,-0.018421
