Plot	Species
299	Agrsm Amoca Andge Asctu Elyca Koecr Lesca Liaas Luppe Monfi Panvi Petpu Poapr Quema Schsc Solri Sornu
300	Luppe Panvi
301	Achmi Agrsm Amoca Andge Asctu Elyca Koecr Lesca Liaas Luppe Monfi Panvi Poapr Quema Schsc Solri Sornu
302	Liaas Luppe Monfi Quema Solri
303	Achmi Agrsm Koecr Liaas Luppe Monfi Petca Petvi Poapr Solri
304	Agrsm Koecr
307	Asctu Luppe Monfi Panvi Petpu Queel Quema Schsc Solri
308	Asctu
311	Koecr Panvi
313	Achmi Koecr Lesca Liaas Luppe Petca Petpu Petvi Quema
318	Achmi Agrsm Amoca Andge Asctu Elyca Koecr Lesca Luppe Monfi Panvi Poapr Queel Quema Schsc Solri Sornu
322	Queel Schsc
324	Elyca Poapr
325	Koecr Monfi Panvi Petpu Solri
328	Achmi Agrsm Amoca Andge Asctu Elyca Koecr Lesca Liaas Luppe Monfi Panvi Petpu Poapr Quema Schsc Solri
329	Achmi Agrsm Amoca Andge Elyca Koecr Lesca Luppe Monfi Panvi Petpu Poapr Queel Quema Schsc Solri Sornu
330	Andge Liaas
331	Achmi Agrsm Amoca Andge Asctu Elyca Koecr Lesca Liaas Luppe Monfi Panvi Petpu Queel Quema Schsc Solri
333	Elyca
334	Elyca Sornu
335	Koecr Petca Petvi
336	Achmi Agrsm Amoca Andge Asctu Elyca Koecr Lesca Liaas Luppe Monfi Panvi Queel Quema Schsc Solri Sornu
338	Monfi Solri
339	Achmi Amoca Andge Asctu Elyca Koecr Lesca Liaas Luppe Monfi Panvi Petpu Poapr Queel Quema Schsc Solri
342	Luppe Monfi Solri
